,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16
0,0.3,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
1,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0
2,0.3,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
3,0.3,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
4,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0
5,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.13264783,0.0,0.3,0.0,0.3,0.3,0.0,0.0
6,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
7,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.13264783,0.0,0.3,0.0,0.3,0.3,0.3,0.3
8,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3
9,0.3,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3
10,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
11,0.3,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
12,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
13,0.3,0.0,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.13264783,0.0,0.0,0.0,0.3,0.0,0.3,0.0
15,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.13264783,0.0,0.0,0.0,0.0,0.0,0.3,0.3
16,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.13264783,0.0,0.0,0.0,0.3,0.0,0.0,0.0
17,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
18,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3
19,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
20,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.3,0.3
21,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,0.0
22,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.3
23,0.3,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0
24,0.3,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.3,0.0
25,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0
26,0.3,0.0,0.3,0.0,0.0,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.3
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.13264783,0.3,0.3,0.3,0.3,0.3,0.3,0.3
29,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3
30,0.3,0.3,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3
31,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.3
32,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0
33,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.3
34,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.13264783,0.3,0.0,0.3,0.0,0.0,0.0,0.3
35,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.13264783,0.3,0.3,0.3,0.0,0.0,0.3,0.0
36,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.13264783,0.3,0.3,0.0,0.0,0.0,0.0,0.3
37,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.13264783,0.3,0.3,0.3,0.0,0.0,0.3,0.3
38,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.13264783,0.3,0.3,0.3,0.0,0.0,0.3,0.0
39,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.13264783,0.3,0.0,0.3,0.3,0.3,0.0,0.0
40,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.13264783,0.3,0.3,0.3,0.3,0.0,0.0,0.0
41,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.13264783,0.3,0.0,0.3,0.3,0.0,0.3,0.0
42,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.3
43,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.3
44,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.13264783,0.3,0.3,0.3,0.0,0.0,0.0,0.3
45,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.13264783,0.3,0.3,0.3,0.3,0.3,0.3,0.3
46,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.13264783,0.3,0.3,0.3,0.0,0.3,0.0,0.0
47,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.13264783,0.3,0.3,0.3,0.0,0.0,0.3,0.3
48,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.13264783,0.3,0.3,0.0,0.0,0.3,0.0,0.0
49,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.13264783,0.3,0.3,0.3,0.0,0.3,0.0,0.3
50,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.13264783,0.3,0.3,0.0,0.0,0.3,0.0,0.0
51,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.13264783,0.3,0.3,0.0,0.0,0.3,0.0,0.0
52,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.13264783,0.0,0.3,0.0,0.3,0.3,0.3,0.0
53,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.13264783,0.0,0.3,0.0,0.0,0.3,0.3,0.0
54,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.3
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13264783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.3,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
57,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.13264783,0.3,0.0,0.3,0.3,0.3,0.3,0.3
58,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.13264783,0.0,0.3,0.3,0.0,0.3,0.3,0.3
59,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.13264783,0.3,0.3,0.3,0.0,0.3,0.0,0.3
60,0.0,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.13264783,0.0,0.3,0.3,0.0,0.3,0.0,0.3
61,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.13264783,0.3,0.3,0.3,0.0,0.3,0.0,0.3
62,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3
63,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.13264783,0.3,0.0,0.0,0.0,0.3,0.3,0.3
64,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.0,0.13264783,0.0,0.3,0.3,0.0,0.0,0.3,0.3
65,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.13264783,0.3,0.0,0.3,0.0,0.0,0.0,0.3
66,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.0,0.13264783,0.0,0.0,0.3,0.0,0.0,0.3,0.3
67,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.0,0.13264783,0.3,0.0,0.3,0.0,0.3,0.3,0.3
68,0.3,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.13264783,0.0,0.0,0.3,0.0,0.3,0.3,0.3
69,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.13264783,0.3,0.3,0.3,0.3,0.3,0.0,0.3
70,0.3,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3
71,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.3
72,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3
73,0.3,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0
74,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0
75,0.0,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.0
76,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0
77,0.0,0.3,0.0,0.3,0.3,0.3,0.3,0.0,0.13264783,0.0,0.0,0.3,0.0,0.3,0.3,0.0
78,0.0,0.0,0.3,0.3,0.3,0.0,0.3,0.0,0.13264783,0.3,0.0,0.0,0.0,0.3,0.3,0.0
79,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.13264783,0.0,0.0,0.3,0.0,0.0,0.3,0.0
80,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.13264783,0.0,0.3,0.0,0.0,0.0,0.3,0.0
81,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
82,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13264783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.13264783,0.3,0.3,0.0,0.3,0.3,0.0,0.3
85,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.13264783,0.3,0.3,0.0,0.3,0.3,0.0,0.3
86,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.13264783,0.3,0.3,0.3,0.3,0.3,0.0,0.3
87,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.13264783,0.3,0.3,0.3,0.3,0.3,0.0,0.3
88,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.13264783,0.3,0.3,0.0,0.3,0.3,0.0,0.3
89,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.13264783,0.3,0.3,0.3,0.3,0.0,0.0,0.3
90,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.13264783,0.3,0.0,0.0,0.3,0.0,0.0,0.3
91,0.3,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.13264783,0.3,0.3,0.0,0.3,0.0,0.0,0.3
92,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.3,0.13264783,0.0,0.0,0.3,0.3,0.3,0.0,0.0
93,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.13264783,0.0,0.0,0.3,0.3,0.0,0.0,0.0
