,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16
0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0
1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0
2,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0
3,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0
4,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
6,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1
7,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0
8,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
9,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1
10,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.00635002,0.0,0.0,0.1,0.0,0.0,0.0,0.1
11,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1
12,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.00635002,0.1,0.1,0.0,0.0,0.1,0.1,0.1
13,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.00635002,0.1,0.0,0.0,0.0,0.0,0.0,0.1
14,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1
15,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
16,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0
17,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.00635002,0.1,0.0,0.1,0.0,0.0,0.1,0.0
18,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
19,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0
20,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1
21,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0
22,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
23,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.00635002,0.0,0.1,0.1,0.0,0.0,0.1,0.0
